name,#_attempts,#_sessions,start_date,end_date,p_success,p_error,p_omission,p_premature,rt_success,rt_error,mean_sess_duration,mean_attempts_per_session,elo_mean,gender,age
arwen,607,37,2023-07-15,2023-07-26,0.6655683690280065,0.31795716639209226,0.013179571663920923,0.0032948929159802307,1073.8960396039604,1195.082901554404,230108.2042833608,16.405405405405407,1148,2,4.69315068493151
faramir,607,19,2022-06-18,2022-06-22,0.4794069192751236,0.4464579901153213,0.009884678747940691,0.0642504118616145,1475.3127147766322,1395.0073800738007,649215.0,31.94736842105263,1175,1,3.96986301369863
yvan,607,70,2022-06-05,2022-06-09,0.685337726523888,0.29654036243822074,0.011532125205930808,0.006589785831960461,1042.1778846153845,1315.5666666666666,333833.6820428336,8.67142857142857,1069,1,1.64657534246575
eowyn,607,28,2023-05-01,2023-05-04,0.5074135090609555,0.44810543657331137,0.006589785831960461,0.03789126853377265,1534.7045454545455,1404.875,435061.3838550247,21.678571428571427,1029,2,4.87945205479452
vladimir,607,23,2022-06-30,2022-07-03,0.5304777594728172,0.45304777594728174,0.0032948929159802307,0.013179571663920923,643.7360248447205,668.84,359222.5205930807,26.391304347826086,981,1,2.11506849315069
djocko,607,20,2022-06-24,2022-06-25,0.6457990115321252,0.342668863261944,0.009884678747940691,0.0016474464579901153,1677.2474489795918,1844.889423076923,870563.827018122,30.35,1084,1,3.03013698630137
anyanka,607,39,2023-05-13,2023-05-18,0.48105436573311366,0.46787479406919275,0.0032948929159802307,0.047775947281713346,980.6712328767123,962.1549295774648,387427.4085667216,15.564102564102564,888,2,2.84931506849315
baal,607,41,2022-06-29,2022-07-04,0.5914332784184514,0.26194398682042835,0.13344316309719934,0.013179571663920923,1245.2952646239555,1564.1572327044025,607123.6688632619,14.804878048780488,830,1,1.13698630136986
spliff,607,44,2022-10-29,2022-11-01,0.57166392092257,0.4085667215815486,0.006589785831960461,0.013179571663920923,896.0489913544668,904.7137096774194,271264.88797364087,13.795454545454545,997,1,3.31506849315068
yelena,607,25,2022-06-10,2022-06-12,0.44810543657331137,0.5057660626029654,0.008237232289950576,0.03789126853377265,633.2132352941177,618.1758957654723,496054.7380560132,24.28,946,2,1.99178082191781
theoden,607,38,2022-06-02,2022-06-06,0.5881383855024712,0.38879736408566723,0.011532125205930808,0.011532125205930808,1148.8711484593837,1233.3728813559321,319632.24546952226,15.973684210526315,842,1,3.82465753424658
natasha,607,45,2023-04-29,2023-05-03,0.5980230642504119,0.38220757825370677,0.008237232289950576,0.011532125205930808,707.9531680440772,752.8620689655172,235117.60955518947,13.488888888888889,985,2,2.16438356164384
